S.No.,State Code,State Name (In English),District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code
2454,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583507,2,Poolabanda,,Rural,Inhabitant,1450900,583507
2455,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583511,2,Sirlimetta,,Rural,Inhabitant,1451300,583511
2456,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583512,2,Kumada,,Rural,Inhabitant,1451400,583512
2457,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583513,2,Digakumada,,Rural,Inhabitant,1451500,583513
2458,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583515,2,Vetchangi,,Rural,Inhabitant,1451700,583515
2459,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583516,2,Tangula,,Rural,Inhabitant,1451800,583516
2460,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583517,2,Boosiputtu,,Unmapped,Inhabitant,1451900,583517
2461,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583520,2,Rakasirai,,Rural,Inhabitant,1452200,583520
2462,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583521,2,Dasariputtu,,Rural,Inhabitant,1452300,583521
2463,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583524,2,Chippaputtu,,Rural,Inhabitant,1452600,583524
2464,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583527,2,Kottalabayalu,,Rural,Inhabitant,1452900,583527
2465,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583529,2,Kilagada,,Rural,Inhabitant,1453100,583529
2466,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583531,2,Malakariputtu,,Rural,Inhabitant,1453300,583531
2467,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583532,2,Tarigeda,,Rural,Inhabitant,1453400,583532
2468,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583533,2,Vanuguputtu,,Rural,Inhabitant,1453500,583533
2469,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583534,2,Bondaputtu,,Rural,Inhabitant,1453600,583534
2470,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583535,2,Chinamukkiputtu,,Rural,Inhabitant,1453700,583535
2471,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583536,2,Ratulaputtu,,Rural,Inhabitant,1453800,583536
2472,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583537,2,Murugu Cheruvu,,Rural,Inhabitant,1453900,583537
2473,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583538,2,Giddala Puttu,,Rural,Inhabitant,1454000,583538
2474,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583545,2,Majjiguda,,Rural,Inhabitant,1454700,583545
2475,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583546,2,Kummari Puttu,,Rural,Inhabitant,1454800,583546
2476,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583551,2,Kincholda,,Rural,Inhabitant,1455300,583551
2477,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583553,2,A.Kotturu,,Rural,Inhabitant,1455500,583553
2478,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583558,2,Malagummi,,Rural,Inhabitant,1456000,583558
2479,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583559,2,Bangarumetta,,Rural,Inhabitant,1456100,583559
2480,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583560,2,Kummari Puttu,,Rural,Inhabitant,1456200,583560
2481,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583561,2,Bangaru Puttu,,Rural,Inhabitant,1456300,583561
2482,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583562,2,Badiputtu,,Rural,Inhabitant,1456400,583562
2483,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583568,2,Deembuguda,,Rural,Inhabitant,1457000,583568
2484,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583569,2,Podaputtu,,Rural,Inhabitant,1457100,583569
2485,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583570,2,Talimba,,Rural,Inhabitant,1457200,583570
2486,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583574,2,Peddapetu,,Rural,Inhabitant,1457600,583574
2487,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,912635,2,Lungaputtu,,Rural,Inhabitant,0,0
